"lang"
{
	"Language"		"English"
	"Tokens"
	{
		"game_mode_15"		"RPG"
		"addon_game_name"		"RPG"
		"DOTA_GoodGuys"		"Adventurers"
		"DOTA_BadGuys"		"Evil Forces"
		// Hero names
		"npc_dota_hero_drow_ranger"	"Phantom Ranger" // Ranged agi phys dd #2
		"npc_dota_hero_juggernaut"	"Luminous Samurai" // Melee agi phys dd №2
		"npc_dota_hero_phantom_assassin"	"Abyssal Stalker" // Melee agi phys dd №1
		"npc_dota_hero_abyssal_underlord"	"Terror Lord" // Tank №1
		"npc_dota_hero_mars"	"Molten Guardian" // Tank №2
		"npc_dota_hero_axe"	"Blazing Berserker" // Melee str phys dd №1
		"npc_dota_hero_crystal_maiden"	"Crystal Sorceress" // Ranged int mage dd №2
		"npc_dota_hero_invoker"	"Chosen Invoker" // Ranged int mage dd №1
		"npc_dota_hero_silencer"	"Light Cardinal" // Support #1
		"npc_dota_hero_enchantress"	"Priestess of Sacred Forest" // Support #2
		"npc_dota_hero_doom_bringer"	"Melee str phys dd №2"
		"npc_dota_hero_dark_willow"	"Ranger agi phys dd №1"
		// Countless hero abilities
		"DOTA_Tooltip_Ability_empty5"		"Ability slot"
		"DOTA_Tooltip_Ability_empty5_Description"		"Can be learned from the 3rd row in talents."
		"DOTA_Tooltip_Ability_empty6"		"Ability slot"
		"DOTA_Tooltip_Ability_empty6_Description"		"Can be learned from the 3rd row in talents."
		// Phantom Ranger (drow)
		"DOTA_Tooltip_Ability_phantom_ranger_soul_echo"		"Soul Echo"
		"DOTA_Tooltip_Ability_phantom_ranger_soul_echo_Description"		"Phantom Ranger's soul whispers to the void plane and creates a Phantom substitute of herself from the echo. It lasts for 5 seconds. Redirect all threat generated and a percent of damage taken by Phantom Ranger to the substitute. The cooldown of this skill cannot be reduced."
		"DOTA_Tooltip_Ability_phantom_ranger_soul_echo_duration"		"DURATION:"
		"DOTA_Tooltip_Ability_phantom_ranger_soul_echo_damage_reduction"		"%DAMAGE TRANSFER:"
		"DOTA_Tooltip_Ability_phantom_ranger_soul_echo_phantom_health"		"%PHANTOM'S HEALTH:"
		"DOTA_Tooltip_modifier_phantom_ranger_soul_echo"		"Soul Echo"
		"DOTA_Tooltip_modifier_phantom_ranger_soul_echo_Description"		"A percent of damage taken by you is taken by your Phantom substitute instead."
		"DOTA_Tooltip_Ability_phantom_ranger_shadow_waves"		"Shadow Wave"
		"DOTA_Tooltip_Ability_phantom_ranger_shadow_waves_Description"		"Phantom Ranger sends waves of void shadow forward. Enemies caught by will be silenced for 0.2 seconds and slowed."
		"DOTA_Tooltip_Ability_phantom_ranger_shadow_waves_duration"		"SLOW DURATION:"
		"DOTA_Tooltip_Ability_phantom_ranger_shadow_waves_ms_slow"		"%MOVE SPEED SLOW:"
		"DOTA_Tooltip_Ability_phantom_ranger_shadow_waves_as_slow"		"%ATTACK SPEED SLOW:"
		"DOTA_Tooltip_Ability_phantom_ranger_shadow_waves_cast_speed"		"%CAST SPEED SLOW:"
		"DOTA_Tooltip_modifier_phantom_ranger_shadow_waves_debuff"		"Shadow Waves"
		"DOTA_Tooltip_modifier_phantom_ranger_shadow_waves_debuff_Description"		"Slowed."
		"DOTA_Tooltip_Ability_phantom_ranger_phantom_harmonic"		"Phantom Harmonic"
		"DOTA_Tooltip_Ability_phantom_ranger_phantom_harmonic_Description"		"Phantom Ranger's auto attacks have a chance to turn into vibrating void energy that bounces between nearby enemies. Can only hit each enemy once. When this ability damages an enemy, Phantom Ranger gains a stack of Harmonic effect which provides cooldown reduction for Void Disciple."
		"DOTA_Tooltip_Ability_phantom_ranger_phantom_harmonic_proc_chance"		"%PROC CHANCE:"
		"DOTA_Tooltip_Ability_phantom_ranger_phantom_harmonic_proc_damage"		"%ATTACK DAMAGE TO DAMAGE:"
		"DOTA_Tooltip_Ability_phantom_ranger_phantom_harmonic_cdr_per_stack"		"COOLDOWN REDUCTION PER STACK:"
		"DOTA_Tooltip_Ability_phantom_ranger_phantom_harmonic_duration"		"STACK DURATION:"
		"DOTA_Tooltip_Ability_phantom_ranger_phantom_harmonic_max_stacks"		"MAX STACKS:"
		"DOTA_Tooltip_modifier_phantom_ranger_phantom_harmonic_stacks"		"Harmonic"
		"DOTA_Tooltip_modifier_phantom_ranger_phantom_harmonic_stacks_Description"		"Each stack reduces the cooldown of Void Disciple."
		"DOTA_Tooltip_Ability_phantom_ranger_void_disciple"		"Void Disciple"
		"DOTA_Tooltip_Ability_phantom_ranger_void_disciple_Description"		"Phantom Ranger summons the immortal void disciples from the void abyss to fight along with her. The disciples can apply her attack modifiers from items and abilities and have a percent of her attack damage and attack speed."
		"DOTA_Tooltip_Ability_phantom_ranger_void_disciple_max_voids"		"MAX SUMMONS:"
		"DOTA_Tooltip_Ability_phantom_ranger_void_disciple_duration"		"DURATION:"
		"DOTA_Tooltip_Ability_phantom_ranger_void_disciple_void_damage"		"%ATTACK DAMAGE TO SUMMON DAMAGE:"
		"DOTA_Tooltip_Ability_phantom_ranger_void_disciple_void_aa_speed"		"%ATTACK SPEED TO SUMMON ATTACK SPEED:"
		"DOTA_Tooltip_Ability_phantom_ranger_phantom_arrow"		"Phantom Arrow"
		"DOTA_Tooltip_Ability_phantom_ranger_phantom_arrow_Description"		"Fires an arrow at an enemy, dealing void damage while summoning an immortal Phantom behind them."
		"DOTA_Tooltip_Ability_phantom_ranger_remnant_arrow"		"Remnant Arrow"
		"DOTA_Tooltip_Ability_phantom_ranger_remnant_arrow_Description"		"Creates an immortal Phantom at the target location, with which Phantom Ranger can swap positions. Press this ability again to swap positions with the Phantom."
		"DOTA_Tooltip_Ability_phantom_ranger_barrage"		"Barrage"
		"DOTA_Tooltip_Ability_phantom_ranger_barrage_Description"		"Phantom Ranger attacks all enemy targets around her with reduced damage for 5 seconds. She can move while using this ability."
		"DOTA_Tooltip_Ability_phantom_ranger_hunter_focus"		"Hunter Focus"
		"DOTA_Tooltip_Ability_phantom_ranger_hunter_focus_Description"		"Marks the enemy targets. Phantom Ranger gains maximum attack speed against marked enemies."
		"DOTA_Tooltip_Ability_phantom_ranger_hunter_focus_duration"		"DURATION:"
		"DOTA_Tooltip_Ability_phantom_ranger_huntress"		"HUNTRESS"
		"DOTA_Tooltip_Ability_phantom_ranger_huntress_Description"		"Phantom Ranger doubles her attack range, but can't move. This is a toggle ability."
		"DOTA_Tooltip_Ability_phantom_ranger_intimidation"		"INTIMIDATION"
		"DOTA_Tooltip_Ability_phantom_ranger_intimidation_Description"		"Test"
		// Molten Guardian (mars)
		"DOTA_Tooltip_Ability_molten_guardian_scorching_clash"		"Scorching Clash"
		"DOTA_Tooltip_Ability_molten_guardian_scorching_clash_Description"		"Molten Guardian dashes forward furiously with his battle shield, damaging all enemies along the way. Enemies hit are set aflame and take damage over time based on his maximum health for 3 seconds. At level 4, he also stuns all nearby enemies in 300 radius around the target location for 0.5s."
		"DOTA_Tooltip_Ability_molten_guardian_scorching_clash_base_damage"		"BASE DAMAGE:"
		"DOTA_Tooltip_Ability_molten_guardian_scorching_clash_dot_dmg"		"%MAX HEALTH TO DOT DAMAGE:"
		"DOTA_Tooltip_Ability_molten_guardian_scorching_clash_dot_tick"		"DOT TICK EVERY:"
		"DOTA_Tooltip_Ability_molten_guardian_scorching_clash_dot_duration"		"DOT DURATION:"
		"DOTA_Tooltip_modifier_molten_guardian_scorching_clash_stun"		"Scorching clash"
		"DOTA_Tooltip_modifier_molten_guardian_scorching_clash_stun_Description"		"Stunned."
		"DOTA_Tooltip_modifier_molten_guardian_scorching_clash_dot"		"Scorching clash"
		"DOTA_Tooltip_modifier_molten_guardian_scorching_clash_dot_Description"		"Suffering fire damage from Scorching Clash."
		"DOTA_Tooltip_Ability_molten_guardian_lava_skin"		"Lava Skin"
		"DOTA_Tooltip_Ability_molten_guardian_lava_skin_Description"		"Molten Guardian was born from the pool of eternal fire in the Molten Core. Whenever enemies hit him, their weapons are softened and corroded by the flowing lava running through his skin, reducing all physical damage he takes. In addition, the heat waves from the lava burn enemies in a 350 radius, slowing and damaging them based on Molten Guardian's Strength."
		"DOTA_Tooltip_Ability_molten_guardian_lava_skin_ms_slow"		"%MOVE SPEED SLOW:"
		"DOTA_Tooltip_Ability_molten_guardian_lava_skin_ms_slow_duration"		"MOVE SPEED SLOW DURATION:"
		"DOTA_Tooltip_Ability_molten_guardian_lava_skin_phys_dmg_reduce"		"%PHYSICAL DAMAGE REDUCTION:"
		"DOTA_Tooltip_Ability_molten_guardian_lava_skin_str_to_damage"		"%STRENGTH TO DAMAGE:"
		"DOTA_Tooltip_Ability_molten_guardian_lava_skin_damage_radius"		"RADIUS:"
		"DOTA_Tooltip_modifier_molten_guardian_lava_skin_slow"		"Lava Skin"
		"DOTA_Tooltip_modifier_molten_guardian_lava_skin_slow_Description"		"Slowed."
